rates >>>,business $,0.545,medical $,0.18,charity $,0.14,moving $,0.18

SUMMARY

VEHICLE,ODOMETER (START OF YEAR),BUSINESS,COMMUTE,PERSONAL (OTHER),UNCLASSIFIED,TOTAL DISTANCE,BUSINESS VALUE IN $,PARKING IN $,TOLLS IN $,TOTAL VALUE IN $,MEDICAL,MOVING,CHARITY
Sonata,116803,1466.9,0.0,490.1,104.7,2061.7,"=ROUND(PRODUCT(C6, C1), 2)",0.00,0.00,"=ROUND(SUM(H6, I6, J6), 2)",0.0,0.0,0.0
,TOTALS,=SUM(C6:C6),=SUM(D6:D6),=SUM(E6:E6),=SUM(F6:F6),=SUM(G6:G6),=SUM(H6:H6),=SUM(I6:I6),=SUM(J6:J6),=SUM(K6:K6),=SUM(L6:L6),=SUM(M6:M6),=SUM(N6:N6)

DETAILED LOG

START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,MILES_VALUE,PARKING,TOLLS,TOTAL,VEHICLE,PURPOSE,NOTES
07/09/2018 12:30,07/09/2018 12:38,Personal,North Central Virginia Beach VA,SGC,3.1,"=ROUND(PRODUCT(F62, 0), 2)",0.00,0.00,"=ROUND(SUM(G62, H62, I62), 2)",Sonata,Personal,
07/09/2018 12:41,07/09/2018 12:55,Personal,SGC,North Central Virginia Beach VA,2.7,"=ROUND(PRODUCT(F63, 0), 2)",0.00,0.00,"=ROUND(SUM(G63, H63, I63), 2)",Sonata,Personal,
07/09/2018 13:02,07/09/2018 13:11,Personal,North Central Virginia Beach VA,SGC,3.1,"=ROUND(PRODUCT(F64, 0), 2)",0.00,0.00,"=ROUND(SUM(G64, H64, I64), 2)",Sonata,Personal,
07/09/2018 15:32,07/09/2018 15:39,Personal,SGC,Virginia Beach VA,2.8,"=ROUND(PRODUCT(F65, 0), 2)",0.00,0.00,"=ROUND(SUM(G65, H65, I65), 2)",Sonata,Personal,
07/09/2018 15:41,07/09/2018 16:02,Personal,Virginia Beach VA,Norfolk VA,8.5,"=ROUND(PRODUCT(F66, 0), 2)",0.00,0.00,"=ROUND(SUM(G66, H66, I66), 2)",Sonata,Personal,
07/09/2018 16:11,07/09/2018 16:45,Business,Norfolk VA,SGC,12.0,"=ROUND(PRODUCT(F67, C1), 2)",0.00,0.00,"=ROUND(SUM(G67, H67, I67), 2)",Sonata,Business,
07/09/2018 16:46,07/09/2018 16:59,Business,SGC,North Central Virginia Beach VA,2.4,"=ROUND(PRODUCT(F68, C1), 2)",0.00,0.00,"=ROUND(SUM(G68, H68, I68), 2)",Sonata,Business,
07/09/2018 17:00,07/09/2018 17:19,Business,North Central Virginia Beach VA,Virginia Beach VA,6.3,"=ROUND(PRODUCT(F69, C1), 2)",0.00,0.00,"=ROUND(SUM(G69, H69, I69), 2)",Sonata,Business,
07/09/2018 17:23,07/09/2018 18:39,Business,Virginia Beach VA,North Central Virginia Beach VA,18.0,"=ROUND(PRODUCT(F70, C1), 2)",0.00,0.00,"=ROUND(SUM(G70, H70, I70), 2)",Sonata,Business,
07/09/2018 18:45,07/09/2018 18:57,Business,North Central Virginia Beach VA,Virginia Beach VA,3.5,"=ROUND(PRODUCT(F71, C1), 2)",0.00,0.00,"=ROUND(SUM(G71, H71, I71), 2)",Sonata,Business,
07/09/2018 18:58,07/09/2018 19:18,Business,Virginia Beach VA,Virginia Beach VA,5.0,"=ROUND(PRODUCT(F72, C1), 2)",0.00,0.00,"=ROUND(SUM(G72, H72, I72), 2)",Sonata,Business,
07/09/2018 19:21,07/09/2018 19:52,Business,Virginia Beach VA,Virginia Beach VA,9.1,"=ROUND(PRODUCT(F73, C1), 2)",0.00,0.00,"=ROUND(SUM(G73, H73, I73), 2)",Sonata,Business,
07/09/2018 19:57,07/09/2018 20:21,Business,Virginia Beach VA,Virginia Beach VA,4.3,"=ROUND(PRODUCT(F74, C1), 2)",0.00,0.00,"=ROUND(SUM(G74, H74, I74), 2)",Sonata,Business,
07/09/2018 20:23,07/09/2018 20:37,Business,Virginia Beach VA,SGC,5.5,"=ROUND(PRODUCT(F75, C1), 2)",0.00,0.00,"=ROUND(SUM(G75, H75, I75), 2)",Sonata,Business,
07/10/2018 11:22,07/10/2018 11:43,Personal,North Central Virginia Beach VA,TCC,6.5,"=ROUND(PRODUCT(F76, 0), 2)",0.00,0.00,"=ROUND(SUM(G76, H76, I76), 2)",Sonata,Personal,
07/10/2018 16:07,07/10/2018 16:29,Personal,TCC,SGC,7.4,"=ROUND(PRODUCT(F77, 0), 2)",0.00,0.00,"=ROUND(SUM(G77, H77, I77), 2)",Sonata,Personal,
07/10/2018 17:17,07/10/2018 17:54,Business,SGC,Northeast Virginia Beach Virginia Beach VA,12.6,"=ROUND(PRODUCT(F78, C1), 2)",0.00,0.00,"=ROUND(SUM(G78, H78, I78), 2)",Sonata,Business,
07/10/2018 18:00,07/10/2018 18:12,Business,Northeast Virginia Beach Virginia Beach VA,Virginia Beach VA,3.7,"=ROUND(PRODUCT(F79, C1), 2)",0.00,0.00,"=ROUND(SUM(G79, H79, I79), 2)",Sonata,Business,
